Name,Rkiname,Type,State,Ags,Lat,Long,Pop
Ulm,SK Ulm,Stadtkreis,Baden-Württemberg,08421,48.393934,9.9530146,126790
Alb-Donau-Kreis,LK Alb-Donau-Kreis,Landkreis,Baden-Württemberg,08425,48.294959,9.6984361,197076
Biberach,LK Biberach,Landkreis,Baden-Württemberg,08426,48.110471,9.7758573,201282
Bodenseekreis,LK Bodenseekreis,Landkreis,Baden-Württemberg,08435,47.736322,9.4051731,217470
Ravensburg,LK Ravensburg,Landkreis,Baden-Württemberg,08436,47.827299,9.780134,285424
Sigmaringen,LK Sigmaringen,Landkreis,Baden-Württemberg,08437,48.042245,9.2369418,130849
Ingolstadt,SK Ingolstadt,Stadt,Bayern,09161,48.751672,11.402123,137392
München,SK München,Stadt,Bayern,09162,48.14924,11.550583,1484226
Rosenheim,SK Rosenheim,Stadt,Bayern,09163,47.843242,12.113999,63551
Altötting,LK Altötting,Landkreis,Bayern,09171,48.214904,12.710466,111516
Berchtesgadener Land,LK Berchtesgadener Land,Landkreis,Bayern,09172,47.689,12.887468,105929
Bad Tölz-Wolfratshausen,LK Bad Tölz-Wolfratshausen,Landkreis,Bayern,09173,47.724822,11.488162,127917
Dachau,LK Dachau,Landkreis,Bayern,09174,48.330886,11.361832,154899
Ebersberg,LK Ebersberg,Landkreis,Bayern,09175,48.072971,11.916733,143649
Eichstätt,LK Eichstätt,Landkreis,Bayern,09176,48.894676,11.377377,132881
Erding,LK Erding,Landkreis,Bayern,09177,48.298097,12.003207,138182
Freising,LK Freising,Landkreis,Bayern,09178,48.445509,11.744176,180007
Fürstenfeldbruck,LK Fürstenfeldbruck,Landkreis,Bayern,09179,48.184625,11.20652,219311
Garmisch-Partenkirchen,LK Garmisch-Partenkirchen,Landkreis,Bayern,09180,47.556054,11.128266,88424
Landsberg am Lech,LK Landsberg a.Lech,Landkreis,Bayern,09181,48.024573,10.954265,120302
Miesbach,LK Miesbach,Landkreis,Bayern,09182,47.74006,11.815808,100010
Mühldorf a. Inn,LK Mühldorf a.Inn,Landkreis,Bayern,09183,48.241361,12.386674,115872
München,LK München,Landkreis,Bayern,09184,48.00965,11.655151,350473
Neuburg-Schrobenhausen,LK Neuburg-Schrobenhausen,Landkreis,Bayern,09185,48.660193,11.202207,97303
Pfaffenhofen a.d. Ilm,LK Pfaffenhofen a.d.Ilm,Landkreis,Bayern,09186,48.593412,11.526963,128227
Rosenheim,LK Rosenheim,Landkreis,Bayern,09187,47.946992,12.201827,261330
Starnberg,LK Starnberg,Landkreis,Bayern,09188,48.002201,11.287519,136667
Traunstein,LK Traunstein,Landkreis,Bayern,09189,47.89873,12.582843,177319
Weilheim-Schongau,LK Weilheim-Schongau,Landkreis,Bayern,09190,47.787291,11.053654,135478
Landshut,SK Landshut,Stadt,Bayern,09261,48.543948,12.160501,73411
Passau,SK Passau,Stadt,Bayern,09262,48.586691,13.415058,52803
Straubing,SK Straubing,Stadt,Bayern,09263,48.884215,12.574082,47791
Deggendorf,LK Deggendorf,Landkreis,Bayern,09271,48.784508,13.005449,119478
Freyung-Grafenau,LK Freyung-Grafenau,Landkreis,Bayern,09272,48.829498,13.515194,78362
Kelheim,LK Kelheim,Landkreis,Bayern,09273,48.823577,11.859606,123058
Landshut,LK Landshut,Landkreis,Bayern,09274,48.660179,12.07862,159895
Passau,LK Passau,Landkreis,Bayern,09275,48.483276,13.260599,192656
Regen,LK Regen,Landkreis,Bayern,09276,49.02731,13.102578,77410
Rottal-Inn,LK Rottal-Inn,Landkreis,Bayern,09277,48.431852,12.871481,121502
Straubing-Bogen,LK Straubing-Bogen,Landkreis,Bayern,09278,49.006714,12.696094,101120
Dingolfing-Landau,LK Dingolfing-Landau,Landkreis,Bayern,09279,48.645574,12.614768,96683
Amberg,SK Amberg,Stadt,Bayern,09361,49.453399,11.849567,42207
Regensburg,SK Regensburg,Stadt,Bayern,09362,49.013426,12.115815,153094
Weiden i.d. OPf.,SK Weiden i.d.OPf.,Stadt,Bayern,09363,49.668596,12.160877,42743
Amberg-Sulzbach,LK Amberg-Sulzbach,Landkreis,Bayern,09371,49.552624,11.731463,103049
Cham,LK Cham,Landkreis,Bayern,09372,49.24159,12.699762,127998
Neumarkt i.d. OPf.,LK Neumarkt i.d.OPf.,Landkreis,Bayern,09373,49.215729,11.568611,134573
Neustadt a.d. Waldnaab,LK Neustadt a.d.Waldnaab,Landkreis,Bayern,09374,49.728007,11.892742,94450
Regensburg,LK Regensburg,Landkreis,Bayern,09375,49.094466,11.917086,194070
Schwandorf,LK Schwandorf,Landkreis,Bayern,09376,49.36972,12.254654,147872
Tirschenreuth,LK Tirschenreuth,Landkreis,Bayern,09377,49.900466,12.204166,72046
Bamberg,SK Bamberg,Stadt,Bayern,09461,49.884114,10.904317,77373
Bayreuth,SK Bayreuth,Stadt,Bayern,09462,49.936515,11.58837,74783
Coburg,SK Coburg,Stadt,Bayern,09463,50.259816,10.964065,41072
Hof,SK Hof,Stadt,Bayern,09464,50.315974,11.897202,45825
Bamberg,LK Bamberg,Landkreis,Bayern,09471,49.943897,11.112155,147163
Bayreuth,LK Bayreuth,Landkreis,Bayern,09472,49.803643,11.487996,103664
Coburg,LK Coburg,Landkreis,Bayern,09473,50.333655,10.880832,86747
Forchheim,LK Forchheim,Landkreis,Bayern,09474,49.721287,11.181625,116203
Hof,LK Hof,Landkreis,Bayern,09475,50.21569,11.789149,94801
Kronach,LK Kronach,Landkreis,Bayern,09476,50.326531,11.37212,66743
Kulmbach,LK Kulmbach,Landkreis,Bayern,09477,50.101067,11.484014,71566
